label_id,label_name,confidence,box_xtl,box_ytl,box_xbr,box_ybr,frame_id
0,Male,0.6477449,1499,330,1565,384,./deploy/frame_000835.PNG
1,Female,0.64181757,738,266,842,356,./deploy/frame_000835.PNG
