label_id,label_name,confidence,box_xtl,box_ytl,box_xbr,box_ybr,frame_id
0,Male,0.75338423,698.0,509.0,807.0,609.0,0
0,Male,0.7242699,699.0,508.0,798.0,604.0,1
0,Male,0.59572685,1844.0,703.0,1919.0,825.0,26
0,Male,0.5849051,1845.0,706.0,1919.0,823.0,27
0,Male,0.65080196,1844.0,711.0,1919.0,822.0,28
0,Male,0.6498332,1845.0,711.0,1919.0,823.0,29
0,Male,0.65118986,1846.0,711.0,1919.0,821.0,30
0,Male,0.66282284,1846.0,712.0,1919.0,823.0,31
0,Male,0.6575695,1845.0,712.0,1918.0,822.0,32
0,Male,0.65341985,1846.0,712.0,1919.0,822.0,33
0,Male,0.6537092,1846.0,712.0,1918.0,821.0,34
0,Male,0.65576583,1846.0,712.0,1919.0,822.0,35
0,Male,0.6565576,1846.0,712.0,1919.0,823.0,36
0,Male,0.65304154,1846.0,712.0,1919.0,824.0,37
0,Male,0.6506166,1846.0,712.0,1919.0,823.0,38
0,Male,0.6543794,1846.0,712.0,1919.0,823.0,39
0,Male,0.6437107,1847.0,712.0,1919.0,823.0,40
0,Male,0.6354286,1849.0,713.0,1919.0,824.0,41
0,Male,0.526586,1506.0,343.0,1575.0,395.0,61
0,Male,0.572318,1506.0,339.0,1578.0,391.0,62
0,Male,0.68084896,1506.0,337.0,1581.0,387.0,63
0,Male,0.69012094,1506.0,337.0,1580.0,386.0,64
0,Male,0.70005286,1506.0,338.0,1580.0,387.0,65
0,Male,0.7014751,1506.0,337.0,1582.0,386.0,66
0,Male,0.7007369,1505.0,337.0,1581.0,385.0,67
0,Male,0.70289266,1505.0,337.0,1582.0,385.0,68
0,Male,0.7062217,1505.0,337.0,1582.0,385.0,69
0,Male,0.70842636,1505.0,337.0,1582.0,385.0,70
0,Male,0.70610654,1505.0,337.0,1581.0,385.0,71
0,Male,0.7043514,1505.0,337.0,1581.0,385.0,72
0,Male,0.70291597,1505.0,337.0,1581.0,385.0,73
0,Male,0.7038,1505.0,337.0,1581.0,385.0,74
0,Male,0.70419174,1505.0,338.0,1582.0,386.0,75
0,Male,0.7078723,1505.0,337.0,1581.0,385.0,76
0,Male,0.7095479,1505.0,337.0,1581.0,385.0,77
0,Male,0.7065864,1505.0,337.0,1581.0,385.0,78
0,Male,0.7078429,1505.0,337.0,1582.0,385.0,79
0,Male,0.70777327,1504.0,337.0,1581.0,386.0,80
0,Male,0.70870876,1504.0,337.0,1582.0,385.0,81
0,Male,0.70794725,1504.0,337.0,1585.0,385.0,82
0,Male,0.7054752,1504.0,337.0,1587.0,385.0,83
0,Male,0.7007111,1504.0,337.0,1590.0,385.0,84
0,Male,0.70056003,1504.0,337.0,1591.0,385.0,85
0,Male,0.7011097,1504.0,337.0,1593.0,385.0,86
0,Male,0.7011189,1504.0,338.0,1594.0,385.0,87
0,Male,0.699868,1504.0,338.0,1594.0,385.0,88
0,Male,0.69748896,1505.0,338.0,1596.0,385.0,89
0,Male,0.7024894,1505.0,339.0,1595.0,386.0,90
0,Male,0.70377696,1504.0,339.0,1594.0,386.0,91
0,Male,0.70531607,1505.0,339.0,1595.0,386.0,92
0,Male,0.6992412,1505.0,337.0,1593.0,385.0,93
0,Male,0.6268216,1504.0,336.0,1585.0,384.0,94
0,Male,0.6121188,1504.0,334.0,1569.0,386.0,95
0,Male,0.5194237,1820.0,783.0,1919.0,894.0,113
0,Male,0.55901194,1816.0,766.0,1917.0,895.0,114
0,Male,0.6220758,1816.0,765.0,1918.0,896.0,115
0,Male,0.71059984,1817.0,772.0,1917.0,898.0,116
0,Male,0.72010005,1817.0,770.0,1918.0,897.0,117
0,Male,0.7232801,1817.0,769.0,1918.0,898.0,118
0,Male,0.7230135,1816.0,769.0,1918.0,899.0,119
0,Male,0.7323644,1816.0,770.0,1917.0,896.0,120
0,Male,0.73945755,1816.0,770.0,1917.0,897.0,121
0,Male,0.73866636,1816.0,769.0,1917.0,898.0,122
0,Male,0.73920316,1816.0,769.0,1918.0,898.0,123
0,Male,0.7407995,1818.0,769.0,1919.0,898.0,124
0,Male,0.73289645,1820.0,770.0,1918.0,896.0,125
0,Male,0.56398684,726.0,562.0,847.0,636.0,146
0,Male,0.6580762,715.0,559.0,852.0,614.0,147
0,Male,0.63540053,705.0,560.0,848.0,615.0,148
0,Male,0.6400529,733.0,568.0,841.0,623.0,149
0,Male,0.66364217,730.0,567.0,841.0,620.0,150
0,Male,0.66509986,715.0,562.0,843.0,615.0,151
0,Male,0.65781945,715.0,562.0,843.0,615.0,152
0,Male,0.67121637,716.0,563.0,844.0,615.0,153
0,Male,0.6568309,711.0,562.0,844.0,613.0,154
0,Male,0.6699899,699.0,560.0,844.0,612.0,155
0,Male,0.6658474,700.0,558.0,842.0,611.0,156
0,Male,0.6527705,696.0,556.0,840.0,609.0,157
0,Male,0.66167873,690.0,554.0,841.0,607.0,158
1,Female,0.7259381,742.0,261.0,837.0,358.0,180
1,Female,0.7213117,742.0,261.0,837.0,359.0,181
0,Male,0.5785875,1485.0,358.0,1558.0,416.0,181
1,Female,0.71232325,742.0,261.0,837.0,359.0,182
0,Male,0.5835329,1488.0,357.0,1559.0,416.0,182
1,Female,0.7224517,740.0,261.0,837.0,360.0,183
0,Male,0.64995885,1485.0,355.0,1558.0,416.0,183
1,Female,0.7352711,743.0,261.0,837.0,358.0,184
0,Male,0.64281666,1485.0,356.0,1557.0,417.0,184
0,Male,0.6286779,1488.0,358.0,1558.0,416.0,185
0,Male,0.6210468,1488.0,357.0,1557.0,415.0,186
