label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Male,0,1511,334,1577,393,0.5954287,79
Female,1,64,253,145,315,0.60395515,80
Male,0,1511,333,1577,392,0.59911215,80
Male,0,1511,331,1579,393,0.61811286,81
Female,1,64,253,145,315,0.5573072,81
Male,0,1510,329,1581,394,0.6416896,82
Female,1,64,253,145,315,0.5872873,82
Female,1,702,436,808,513,0.3129434,82
Male,0,1510,328,1582,394,0.62363106,83
Female,1,64,253,145,315,0.5770792,83
Female,1,702,435,808,513,0.31160456,83
Male,0,1511,329,1584,394,0.6010925,84
Female,1,64,254,144,315,0.5724933,84
Female,1,702,435,808,513,0.30987382,84
Male,0,1511,329,1587,393,0.606908,85
Female,1,64,254,145,315,0.5870738,85
Female,1,702,435,808,512,0.32386643,85
Male,0,1510,329,1588,393,0.63510466,86
Female,1,66,254,147,316,0.58963543,86
Male,0,1510,329,1589,393,0.63892865,87
Female,1,65,254,145,316,0.5823823,87
Male,0,1510,329,1590,393,0.6577339,88
Female,1,66,254,145,316,0.56104493,88
Female,1,702,435,808,513,0.3241763,88
Male,0,1510,329,1590,393,0.6547073,89
Female,1,66,254,146,316,0.57360476,89
Female,1,702,435,808,513,0.32944542,89
Male,0,1510,330,1590,393,0.65695494,90
Female,1,64,254,145,315,0.5981143,90
Male,0,1510,330,1590,393,0.6592587,91
Female,1,64,254,144,315,0.59836257,91
Male,0,1510,330,1589,392,0.6299115,92
Female,1,64,254,145,315,0.60378927,92
Male,0,1510,329,1588,391,0.58912736,93
Female,1,63,254,143,315,0.5876913,93
Female,1,63,253,144,315,0.5798903,94
Male,0,1511,329,1583,391,0.4228121,94
Female,1,702,435,808,513,0.31982368,94
Female,1,65,254,147,316,0.5945136,95
Male,0,1511,327,1568,390,0.391959,95
Male,0,1505,313,1576,385,0.3467989,95
Female,1,702,434,808,512,0.3077963,95
Female,1,66,254,147,316,0.60610807,96
Female,1,703,434,807,512,0.36225712,96
Female,1,65,254,145,316,0.5695366,97
Female,1,703,434,808,511,0.32363325,97
Female,1,64,254,145,316,0.5075163,98
Female,1,65,254,146,316,0.5230087,99
Female,1,702,434,808,511,0.30837172,99
Female,1,63,254,143,315,0.5344212,100
Female,1,702,434,808,511,0.33489987,100
Female,1,64,254,144,315,0.5187197,101
Female,1,702,434,807,511,0.3154056,101
Female,1,64,254,144,316,0.5246916,102
Female,1,64,255,145,316,0.49196187,103
Female,1,61,254,142,315,0.49979693,104
Female,1,65,254,146,316,0.611833,105
Female,1,64,254,145,316,0.599803,106
Female,1,63,254,146,316,0.632645,107
Female,1,703,435,808,513,0.34660578,107
Female,1,63,254,145,316,0.5907289,108
Female,1,703,435,808,513,0.33293265,108
Female,1,64,254,145,316,0.60915124,109
Female,1,703,435,808,513,0.36185214,109
Female,1,63,254,145,316,0.58207357,110
Female,1,702,435,808,512,0.32235104,110
Female,1,64,254,144,316,0.59160036,111
Female,1,702,434,808,512,0.3207084,111
Female,1,63,254,144,316,0.5863631,112
Female,1,702,434,807,512,0.30356067,112
Female,1,63,254,144,316,0.56107867,113
Male,0,1809,774,1919,902,0.44363314,113
Female,1,702,435,807,512,0.3196123,113
