label,label_id,points,type,confidence,frame_id
Female,1.0,"[742, 260, 829, 362]",rectangle,0.6663912,181
Male,0.0,"[1485, 366, 1551, 414]",rectangle,0.5579555,181
Female,1.0,"[740, 260, 828, 358]",rectangle,0.6672524,182
Male,0.0,"[1497, 366, 1553, 412]",rectangle,0.5997881,182
Female,1.0,"[741, 261, 828, 358]",rectangle,0.6775486,183
Male,0.0,"[1491, 357, 1554, 414]",rectangle,0.62570024,183
Female,1.0,"[741, 261, 829, 357]",rectangle,0.6787979,184
Male,0.0,"[1492, 359, 1553, 413]",rectangle,0.6238438,184
Female,1.0,"[744, 263, 838, 358]",rectangle,0.67503774,185
Male,0.0,"[1494, 361, 1552, 412]",rectangle,0.62973434,185
Male,0.0,"[1496, 360, 1552, 412]",rectangle,0.6175623,186
Female,1.0,"[741, 270, 844, 355]",rectangle,0.528572,186
Male,0.0,"[1493, 359, 1552, 412]",rectangle,0.6362063,187
Female,1.0,"[741, 272, 850, 364]",rectangle,0.5956755,187
Male,0.0,"[1494, 359, 1552, 411]",rectangle,0.63372487,188
Female,1.0,"[745, 270, 853, 354]",rectangle,0.46760786,188
Male,0.0,"[1496, 360, 1551, 409]",rectangle,0.6271172,189
Male,0.0,"[1494, 360, 1552, 408]",rectangle,0.6173543,190
Male,0.0,"[1489, 359, 1553, 407]",rectangle,0.6090709,191
Male,0.0,"[1492, 358, 1550, 404]",rectangle,0.64407414,192
Male,0.0,"[1481, 349, 1554, 397]",rectangle,0.5330237,193
Male,0.0,"[1479, 348, 1566, 402]",rectangle,0.52451146,194
Female,1.0,"[1494, 351, 1588, 426]",rectangle,0.3505593,195
Male,0.0,"[1494, 352, 1587, 425]",rectangle,0.33307108,195
Male,0.0,"[1586, 391, 1657, 469]",rectangle,0.33201504,198
Female,1.0,"[1520, 140, 1609, 192]",rectangle,0.37164584,208
Female,1.0,"[1522, 140, 1614, 194]",rectangle,0.4398591,209
Female,1.0,"[1522, 139, 1617, 195]",rectangle,0.48424622,210
Female,1.0,"[1869, 818, 1918, 916]",rectangle,0.35127366,210
Female,1.0,"[1523, 140, 1611, 194]",rectangle,0.52065426,211
Female,1.0,"[1523, 139, 1612, 195]",rectangle,0.5079593,212
Female,1.0,"[1522, 139, 1618, 195]",rectangle,0.5381108,213
Male,0.0,"[1764, 846, 1914, 929]",rectangle,0.33850467,213
Female,1.0,"[1523, 143, 1623, 197]",rectangle,0.53524977,214
Female,1.0,"[1523, 143, 1613, 197]",rectangle,0.49143934,215
Female,1.0,"[1522, 144, 1612, 198]",rectangle,0.3646109,216
Male,0.0,"[1777, 845, 1912, 926]",rectangle,0.37100708,217
Female,1.0,"[1527, 146, 1617, 197]",rectangle,0.32200366,217
Male,0.0,"[1780, 846, 1910, 926]",rectangle,0.31724447,218
Male,0.0,"[1780, 846, 1911, 925]",rectangle,0.30064666,219
Female,1.0,"[1550, 144, 1640, 195]",rectangle,0.45451993,220
Male,0.0,"[1836, 822, 1917, 917]",rectangle,0.42129698,223
Male,0.0,"[1379, 866, 1516, 944]",rectangle,0.34384143,233
Male,0.0,"[1361, 867, 1509, 941]",rectangle,0.41658455,234
Male,0.0,"[1350, 856, 1505, 939]",rectangle,0.48347765,235
Male,0.0,"[1351, 848, 1502, 938]",rectangle,0.55331564,236
Male,0.0,"[1351, 848, 1502, 938]",rectangle,0.5565216,237
Male,0.0,"[1351, 845, 1498, 936]",rectangle,0.5932241,238
Male,0.0,"[1351, 845, 1498, 935]",rectangle,0.57037926,239
Male,0.0,"[1350, 845, 1500, 938]",rectangle,0.5163337,240
Female,1.0,"[1883, 645, 1920, 736]",rectangle,0.35128623,254
Female,1.0,"[1882, 648, 1920, 740]",rectangle,0.32404357,255
Female,1.0,"[1883, 648, 1919, 739]",rectangle,0.30851802,256
Female,1.0,"[1880, 647, 1919, 740]",rectangle,0.33181596,257
Female,1.0,"[1463, 399, 1576, 475]",rectangle,0.3637455,267
Female,1.0,"[748, 277, 850, 344]",rectangle,0.7185222,281
Female,1.0,"[742, 279, 828, 341]",rectangle,0.7966163,282
Female,1.0,"[741, 279, 823, 342]",rectangle,0.8033296,283
Female,1.0,"[742, 278, 823, 341]",rectangle,0.7951014,284
Female,1.0,"[742, 278, 823, 341]",rectangle,0.79021585,285
Female,1.0,"[746, 278, 824, 341]",rectangle,0.7849436,286
Female,1.0,"[749, 278, 826, 341]",rectangle,0.775306,287
Female,1.0,"[750, 278, 828, 341]",rectangle,0.7759273,288
Female,1.0,"[750, 278, 828, 342]",rectangle,0.7796351,289
Female,1.0,"[748, 279, 826, 341]",rectangle,0.7819454,290
Female,1.0,"[745, 280, 826, 342]",rectangle,0.79269433,291
Female,1.0,"[746, 280, 825, 341]",rectangle,0.78739727,292
Female,1.0,"[747, 279, 825, 341]",rectangle,0.7793242,293
Female,1.0,"[750, 277, 826, 341]",rectangle,0.76954144,294
Female,1.0,"[752, 272, 832, 343]",rectangle,0.72693115,295
Female,1.0,"[750, 270, 829, 342]",rectangle,0.7484268,296
Female,1.0,"[747, 265, 861, 344]",rectangle,0.66541874,297
Female,1.0,"[749, 271, 836, 339]",rectangle,0.5683311,298
