label,label_id,points,type,confidence,frame_id
Female,1,"[1509, 189, 1597, 241]",rectangle,0.66154546,./deploy/frame_000870.PNG
Male,0,"[1786, 840, 1912, 912]",rectangle,0.43139845,./deploy/frame_000870.PNG
